Timestamp,Day,Sleep,Meals,School,Homework,Working,Grooming,Travel,Chores,Online_School,Online_Social,Friends,Tv_Streaming,Videogames,Sports,Reading,Hobbies,Music,Other
10/27/2022 9:29:53,Wednesday,570,130,385,60,0,20,20,20,20,0,0,80,0,0,10,120,0,5
10/27/2022 9:30:19,Wednesday,540,65,425,0,0,30,50,0,155,0,0,175,0,0,0,0,0,0
10/27/2022 9:31:03,Wednesday,480,45,425,200,0,15,75,0,0,0,0,0,0,90,0,0,110,0
10/27/2022 9:31:38,Wednesday,460,90,310,100,70,85,103,30,20,25,15,37,0,0,10,60,25,0
10/27/2022 9:32:12,Thursday,510,90,385,60,0,30,25,20,30,0,0,90,0,0,10,30,160,0
10/27/2022 9:32:52,Thursday,625,80,365,60,0,40,44,0,0,10,0,21,0,0,0,190,5,0
10/27/2022 9:32:59,Wednesday,365,50,305,160,100,45,85,10,0,70,70,140,0,0,15,0,25,0
10/27/2022 9:33:10,Wednesday,480,90,515,60,0,0,0,0,0,70,120,0,0,0,80,0,25,0
10/27/2022 9:33:33,Thursday,540,55,425,0,0,10,60,0,30,0,0,0,230,0,0,0,90,0
10/27/2022 9:34:22,Thursday,425,95,375,100,0,95,105,30,0,30,15,45,0,0,0,0,110,15
10/27/2022 9:34:48,Friday,520,130,350,45,130,20,45,25,0,0,0,90,0,0,0,15,0,70
10/27/2022 9:35:16,Wednesday,300,20,480,0,0,20,120,10,0,200,480,120,200,0,20,0,10,0
10/27/2022 9:35:47,Friday,575,70,425,90,0,55,50,25,0,0,0,125,0,0,0,25,0,0
10/27/2022 9:36:00,Friday,660,70,0,230,0,20,60,0,0,0,70,0,30,180,0,60,60,0
10/27/2022 9:36:19,Thursday,480,30,510,120,0,0,0,0,0,90,120,0,0,0,60,0,30,0
10/27/2022 9:36:45,Friday,450,75,355,20,0,40,85,10,0,20,0,235,10,0,15,0,125,0
10/27/2022 9:36:53,Saturday,550,140,0,120,0,10,40,50,30,0,120,180,0,0,30,30,0,140
10/27/2022 9:37:04,Thursday,350,65,305,170,0,40,65,10,0,75,75,180,0,0,25,0,80,0
10/27/2022 9:37:27,Saturday,420,30,0,120,0,35,100,0,210,120,255,0,0,150,0,0,0,0
10/27/2022 9:39:02,Wednesday,500,71,390,0,35,6,20,0,0,0,0,20,58,0,0,55,200,85
10/27/2022 9:39:05,Sunday,560,180,0,60,0,20,25,25,60,0,0,180,0,90,15,15,180,30
10/27/2022 9:39:12,Sunday,630,40,335,245,0,40,60,0,0,90,0,0,0,0,0,0,0,0
10/27/2022 9:39:20,Saturday,620,75,0,0,0,40,40,0,0,0,180,250,0,0,100,85,50,0
10/27/2022 9:39:24,Saturday,600,90,0,90,60,20,0,60,0,30,50,75,70,0,85,0,175,35
10/27/2022 9:40:02,Friday,420,60,510,0,0,0,0,0,0,120,240,0,0,0,80,0,10,0
10/27/2022 9:40:23,Wednesday,585,65,425,0,0,20,5,0,0,120,0,220,0,0,0,0,0,0
10/27/2022 9:40:51,Friday,360,70,290,85,5,20,75,5,0,95,70,245,0,0,25,0,95,0
10/27/2022 9:41:30,Sunday,600,95,0,20,0,0,35,0,0,0,0,390,0,0,60,75,20,124
10/27/2022 9:41:32,Thursday,568,60,465,90,0,12,75,0,0,0,0,170,0,0,0,0,0,0
10/27/2022 9:41:39,Sunday,690,60,0,75,0,110,65,10,0,30,270,0,10,0,20,0,100,0
10/27/2022 9:41:49,Wednesday,400,80,390,60,0,10,65,10,0,60,65,205,75,0,0,0,20,0
10/27/2022 9:42:28,Wednesday,400,25,420,90,0,50,65,10,50,45,40,85,0,0,30,40,70,20
10/27/2022 9:43:36,Thursday,330,20,425,300,0,10,10,0,10,230,0,40,0,0,0,0,65,0
10/27/2022 9:43:46,Friday,510,50,465,0,0,10,70,0,0,0,0,160,155,0,20,0,0,0
10/27/2022 9:44:08,Thursday,385,55,315,60,0,25,60,10,10,60,125,155,150,0,0,0,30,0
10/27/2022 9:44:29,Saturday,535,85,0,105,0,40,20,85,0,170,0,285,0,0,20,0,95,0
